C0151714	hypermagnesemia
C0035344	retinopathy of prematurity
C0004144	atelectasis
C0002063	alkalosis
C0004604	Back Ache
C0034063	lung edema
C0085631	agitated
C0013384	abnormal movements
C0001122	Acidosis
C0034150	peliosis
C0038000	rupture of spleen
C0003578	Apnea
C0013182	Drug hypersensitivity
C0016204	flatulence
C0242429	pain in throat
C0020517	allergies
C0040034	thrombocytopenia
C0428977	bradycardia
C0235896	lung infiltration
C0019080	Bleeding
C0158986	hypoglycaemia neonatal
C0236124	Gastrointestinal Obstruction
C0020456	hyperglycaemia
C0031154	peritonitis
C0020615	hypoglycaemia
C0000731	abdominal distension
C0018790	asystole
C0007785	cerebral infarct
C0242184	hypoxia
C0013404	Difficulty breathing
C0020672	decreased body temperature
C0030446	adynamic ileus
C0243026	sepsis
C0151723	Hypomagnesaemia
C0035220	neonatal respiratory distress syndrome
C0035222	Acute Respiratory Distress Syndrome
C0023798	lipoma
C0030790	pelvic infection
C0003611	appendectomy
C0016199	flank pain
C0032326	pneumothorax
C0003615	appendicitis
C0038379	Strabismus
C0020598	Blood calcium decreased
C1145670	respiratory failure
C0020542	pulmonary hypertension
C0020440	Hypercapnia
C0021845	intestinal perforation
C0023518	leucocytosis
C0024115	Disorder Lung
C0020040	hot flash
C0020649	arterial pressure NOS decreased
C0220981	metabolic acidosis
C0010692	Bladder inflammation
C0003962	ascites
C0013274	patent ductus arteriosis
C0039239	sinus tachycardia
C0038450	stridor
C0497247	arterial pressure NOS increased
C0398353	Hypoventilation
C0013604	edema
C0023895	disease of liver
C0151904	Aspartate Aminotransferase Increase
C0277925	Cold extremities
C0016382	facial flushing
C0002792	anaphylactic reaction
C0015230	eruption
C0001339	acute pancreatitis
C0032285	neumonia
C0001418	adenocarcinoma
C0009676	confusion
C0162429	malnourished
C0019112	haemorrhoids
C0595939	still birth
C0002871	anaemia
C0013221	drug toxicity NOS
C0750426	increased white blood cell count
C0085584	encephalopathy
C0003123	Anorexia
C0040822	tremor
C0018524	Hallucination
C0024117	chronic obstructive airway disease
C0013144	drowsiness
C0018681	Head ache
C0004601	back injury
C0041834	erythema
C0012569	Diplopia
C0038002	enlarged spleen
C0027404	narcolepsy
C0014863	esophageal spasm
C0267112	erosive gastritis
C0318712	gastroenteritis viral
C0024312	Lymphocytes decreased
C0678222	Breast cancer
C0033774	itch
C0002878	haemolytic anaemia
C0041909	upper gastrointestinal bleeding
C0022346	icterus
C0017160	gastroenteritis
C0030353	optic disc edema
C0851578	sleep disorder
C0036983	septic shock
C0080274	bladder retention
C0003564	Aphonia
C0030193	Pain
C0043117	idiopathic thrombocytopenic purpura
C0032308	pneumonia staphylococcal
C0002170	alopecia
C0009763	conjunctivitis
C0032300	lobar pneumonia
C0017658	glomerulonephritis
C0013295	duodenal ulcer
C0149871	deep vein thromboses
C0023530	leucopenia
C1260880	rhinorrhea
C0006444	bursitis
C0151706	bleeding Vaginal
C0015256	Excoriation
C0035258	Ekbom Syndrome
C0027709	nephrocalcinosis
C0344232	blurred vision
C0034155	thrombotic microangiopathy
C0012833	dizziness
C0032231	pleurisy
C0038814	sunburn
C0019825	Hoarseness
C0265031	Bleeding hemorrhoids
C0015672	Fatigue
C0032290	aspiration pneumonia
C0267566	perirectal abscess
C0011991	diarrhea
C0004096	asthma
C0037284	skin lesion
C0040264	tinnitus
C0037763	muscle spasm
C0016059	fib
C0006840	Candida Infection
C0575081	Abnormal Gait
C0017672	glossodynia
C0016167	anal fissure
C0042769	Infection Viral
C0007642	cellulitis
C0011615	allergic dermatitis
C0009806	constipated
C0005779	Clotting
C0030552	muscle paresis
C0011053	deafness
C0042928	vocal cord paralysis
C0151908	dry skin
C0155540	ear discharge
C0151827	eye pain
C0023418	Leukaemia
C0027092	myopia
C0022661	Chronic Kidney Disease
C0022660	acute kidney failure
C0040485	retrocollis
C0009241	cognitive disorder
C0008311	Cholangitis
C0020676	hypothyroid
C0011603	dermatitides
C0151766	Abnormal LFTs
C0011609	dermatitis medicamentosa
C0011206	acute brain syndrome
C0018784	Deafness neurosensory
C0026946	fungal disease
C0152029	nasal sinus congestion
C0700200	Near Syncope
C0014742	erythema multiforme
C0018944	haematoma
C0005758	bleb
C0027424	nasal congestion
C0002453	amenorrhea
C0014591	epistaxis
C0019158	hepatitis
C0009144	coated tongue
C0027947	Neutropenia
C0043144	wheeze
C0267596	haemorrhage rectum
C0000737	abdominal pain
C0008031	chest pain
C0041296	Mycobacterium tuberculosis infection
C0008350	cholelithiasis
C0034212	pyoderma
C0023055	laryngeal neoplasia
C0018939	Blood disorder
C0033975	psychoses
C0231528	aching muscles
C0000833	abscess
C0041657	loss of consciousness
C0038663	attempted suicide
C0018520	bad breath
C0003869	Arthritis infective
C0043096	loss of weight
